Year,SP500_Index
1980,135.759995
1981,122.550003
1982,140.639999
1983,164.929993
1984,167.240005
1985,211.279999
1986,242.169998
1987,247.080002
1988,277.720001
1989,353.399994
1990,330.220001
1991,417.089996
1992,435.709991
1993,466.450012
1994,459.269989
1995,615.929993
1996,740.73999
1997,970.429993
1998,1229.22998
1999,1469.25
2000,1320.280029
2001,1148.079956
2002,879.820007
2003,1111.920044
2004,1211.920044
2005,1248.290039
2006,1418.300049
2007,1468.359985
2008,903.25
2009,1115.099976
2010,1257.640015
2011,1257.599976
2012,1426.189941
2013,1848.359985
2014,2058.899902
2015,2043.939941
2016,2238.830078
2017,2673.610107
2018,2506.850098
2019,3230.780029
2020,3443.439941
2021,4766.18
2022,3839.5
2023,4769.83
2024,5242.2
2025,6720.43
